,DeepSeek-R1-Distill-Qwen-1.5B
NER,entity_f1: 0.1205
FINER-ORD,entity_f1: 0.0017; f1: 0.0041
,
,
FinRED,precision: 0; recall: 0; f1: 0;
,
,
SC,acc: 0.1506 +- 0.0039; missing: 0.2493 +- 0.0047; f1: 0.1945; macro_f1: 0.1654; mcc: 0.0081
,
,
CD,entity_f1: 0; f1: 0
,
,
FNXL,entity_f1: 0; f1: 0
,
,
FSRL,entity_f1: 0; f1: 0
,
,
FPB,acc: 0.1464 +- 0.0114; missing: 0.4660 +- 0.0160; f1: 0.1254; macro_f1: 0.1470; mcc: -0.0114
,
,
FiQA-SA,acc: 0.3574 +- 0.0313; missing: 0.2511 +- 0.0283; f1: 0.3482; macro_f1: 0.2740; mcc: 0.1588
,
,
TSA,Error
,
,
Headlines,Not Done Yet
,
,
FOMC,acc: 0.2097 +- 0.0183; missing: 0.3810 +- 0.0218; f1: 0.2570; macro_f1: 0.2206; mcc: -0.0363
,
,
FinArg-AUC,acc: 0.3829 +- 0.0156; missing: 0.2332 +- 0.0136; f1: 0.4249; macro_f1: 0.4212; mcc: -0.0111
FinArg-ARC,acc: 0.3797 +- 0.0185; missing: 0.3000 +- 0.0175; f1: 0.4434; macro_f1: 0.2330; mcc: 0.0110
MultiFin,acc: 0.2363 +- 0.0182; missing: 0.0018 +- 0.0018; f1: 0.1352; macro_f1: 0.1232; mcc: 0.1108
MA,acc: 0.3580 +- 0.0215; missing: 0.3780 +- 0.0217; f1: 0.3689; macro_f1: 0.3689; mcc: 0.0888
MLESG,acc: 0.0433 +- 0.0118; missing: 0.7933 +- 0.0234; f1: 0.0645; macro_f1: 0.0455; mcc: 0.0573
FinQA,acc: 0 +- 0
TATQA,Not Done Yet
Regulations,Not Done Yet
ConvFinQA,Not Done Yet
EDTSUM,Not Done Yet
ECTSUM,Not Done Yet
BigData22,Not Done Yet
ACL18,Not Done Yet
CIKM18,Not Done Yet
German,Not Done Yet
Australian,Not Done Yet
LendingClub,Not Done Yet
ccf,Not Done Yet
ccfraud,Not Done Yet
polish,Not Done Yet
taiwan,Not Done Yet
portoseguro,Not Done Yet
travelinsurance,Not Done Yet
